ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,daily_return,ma5,volume_volatility,week,month,year
300102.SZ,2018-01-02,10.0,10.11,9.655999999999999,10.101999999999999,10.06,0.05,0.5,275401.21,274228.07,0.0,10.101999999999999,0.0,2018-01-01/2018-01-07,2018-01,2018
300102.SZ,2018-01-03,10.047999999999993,10.35,9.655999999999999,10.101999999999999,10.11,0.13,1.29,328967.75,335900.548,0.0,10.101999999999999,37877.26367870045,2018-01-01/2018-01-07,2018-01,2018
300102.SZ,2018-01-04,10.047999999999993,10.48,9.655999999999999,10.101999999999999,10.24,0.01,0.1,340830.06,351013.627,0.0,10.101999999999999,34859.29579139115,2018-01-01/2018-01-07,2018-01,2018
300102.SZ,2018-01-05,10.047999999999993,10.2,9.655999999999999,9.89,10.25,-0.36,-3.51,326708.05,326391.267,-0.020985943377548777,10.049,29051.60962228242,2018-01-01/2018-01-07,2018-01,2018
300102.SZ,2018-01-08,9.83,9.84,9.51,9.64,9.89,-0.25,-2.53,323330.21,310918.971,-0.025278058645096024,9.9672,25273.086189745027,2018-01-08/2018-01-14,2018-01,2018
300102.SZ,2018-01-09,9.62,9.73,9.53,9.7,9.64,0.06,0.62,185016.21,178232.161,0.006224066390041472,9.8868,65154.443462508985,2018-01-08/2018-01-14,2018-01,2018
300102.SZ,2018-01-10,9.65,9.71,9.48,9.64,9.7,-0.06,-0.62,155863.9,149618.451,-0.006185567010309145,9.7944,88401.75557862427,2018-01-08/2018-01-14,2018-01,2018
300102.SZ,2018-01-11,9.62,9.81,9.53,9.74,9.64,0.1,1.04,186890.38,181587.43,0.010373443983402453,9.722,82593.05621638629,2018-01-08/2018-01-14,2018-01,2018
300102.SZ,2018-01-12,9.4,9.45,8.77,8.88,9.74,-0.86,-8.83,562720.48,509719.644,-0.08829568788501019,9.52,169463.31825005266,2018-01-08/2018-01-14,2018-01,2018
300102.SZ,2018-01-15,8.8,8.81,8.38,8.45,8.88,-0.43,-4.84,262679.05,225911.159,-0.04842342342342354,9.282,167998.0422039877,2018-01-15/2018-01-21,2018-01,2018
300102.SZ,2018-01-16,8.4,8.55,8.31,8.4,8.45,-0.05,-0.59,169020.4,142126.951,-0.005917159763313529,9.022,170174.2587896466,2018-01-15/2018-01-21,2018-01,2018
300102.SZ,2018-01-17,8.45,8.67,8.33,8.62,8.4,0.22,2.62,207268.89,177004.264,0.026190476190476097,8.818000000000001,163156.7386750708,2018-01-15/2018-01-21,2018-01,2018
300102.SZ,2018-01-18,8.56,8.59,8.46,8.5,8.62,-0.12,-1.39,108914.48,92806.147,-0.013921113689094988,8.57,177136.29798676033,2018-01-15/2018-01-21,2018-01,2018
300102.SZ,2018-01-19,8.5,8.6,8.37,8.38,8.5,-0.12,-1.41,120964.03,102427.747,-0.014117647058823457,8.469999999999999,63332.97411976912,2018-01-15/2018-01-21,2018-01,2018
300102.SZ,2018-01-22,8.34,8.45,8.09,8.4,8.38,0.02,0.24,166208.49,137644.002,0.0023866348448686736,8.46,39796.93569469469,2018-01-22/2018-01-28,2018-01,2018
300102.SZ,2018-01-23,8.38,8.43,8.3,8.34,8.4,-0.06,-0.71,97273.23,81222.238,-0.0071428571428572285,8.448,45733.36838037816,2018-01-22/2018-01-28,2018-01,2018
300102.SZ,2018-01-24,8.32,8.57,8.2,8.52,8.34,0.18,2.16,170870.62,144266.765,0.021582733812949506,8.428,33683.26101739619,2018-01-22/2018-01-28,2018-01,2018
300102.SZ,2018-01-25,8.47,8.78,8.46,8.61,8.52,0.09,1.06,206713.03,178839.272,0.010563380281690016,8.45,43327.0245766057,2018-01-22/2018-01-28,2018-01,2018
300102.SZ,2018-01-26,8.54,8.65,8.52,8.55,8.61,-0.06,-0.7,96645.7,82786.172,-0.00696864111498241,8.484,48762.83354681948,2018-01-22/2018-01-28,2018-01,2018
300102.SZ,2018-01-29,8.56,8.63,8.34,8.39,8.55,-0.16,-1.87,85755.17,72554.717,-0.018713450292397682,8.482,54050.71079274667,2018-01-29/2018-02-04,2018-01,2018
300102.SZ,2018-01-30,8.46,8.64,8.43,8.54,8.39,0.15,1.79,93510.23,80049.065,0.01787842669845041,8.522,54668.25294520707,2018-01-29/2018-02-04,2018-01,2018
300102.SZ,2018-01-31,8.49,8.57,8.22,8.26,8.54,-0.28,-3.28,109668.07,91652.29,-0.032786885245901565,8.469999999999999,50084.56832700458,2018-01-29/2018-02-04,2018-01,2018
300102.SZ,2018-02-01,8.29,8.34,7.65,7.65,8.26,-0.61,-7.39,173916.53,137965.9,-0.07384987893462458,8.278,35726.25416251876,2018-01-29/2018-02-04,2018-02,2018
300102.SZ,2018-02-02,7.44,7.61,7.16,7.42,7.65,-0.23,-3.01,222360.67,164132.702,-0.030065359477124187,8.052000000000001,58978.15779512508,2018-01-29/2018-02-04,2018-02,2018
300102.SZ,2018-02-05,7.29,7.58,7.21,7.48,7.42,0.06,0.81,118999.0,88400.385,0.008086253369272267,7.87,53356.96756098864,2018-02-05/2018-02-11,2018-02,2018
300102.SZ,2018-02-06,7.29,7.53,7.03,7.05,7.48,-0.43,-5.75,139132.92,101931.071,-0.0574866310160429,7.572,46027.85439459964,2018-02-05/2018-02-11,2018-02,2018
300102.SZ,2018-02-07,7.18,7.4,7.03,7.27,7.05,0.22,3.12,138464.89,100180.023,0.031205673758865293,7.374,40781.87408283325,2018-02-05/2018-02-11,2018-02,2018
300102.SZ,2018-02-08,7.3,7.6,7.25,7.47,7.27,0.2,2.75,133771.67,100111.551,0.02751031636863832,7.337999999999999,40957.7520041438,2018-02-05/2018-02-11,2018-02,2018
300102.SZ,2018-02-09,7.29,7.55,7.18,7.33,7.47,-0.14,-1.87,158955.12,117423.496,-0.018741633199464536,7.32,14312.948306077387,2018-02-05/2018-02-11,2018-02,2018
300102.SZ,2018-02-12,7.39,7.93,7.39,7.9,7.33,0.57,7.78,207890.23,159650.348,0.07776261937244211,7.403999999999999,30768.36225048753,2018-02-12/2018-02-18,2018-02,2018
300102.SZ,2018-02-13,7.82,7.82,7.66,7.72,7.9,-0.18,-2.28,181496.99,140007.334,-0.0227848101265824,7.537999999999999,30917.93377227199,2018-02-12/2018-02-18,2018-02,2018
300102.SZ,2018-02-14,7.71,7.73,7.57,7.61,7.72,-0.11,-1.42,103997.38,79245.816,-0.014248704663212375,7.606,40442.32475586148,2018-02-12/2018-02-18,2018-02,2018
300102.SZ,2018-02-22,7.68,7.8,7.63,7.74,7.61,0.13,1.71,93994.52,72664.926,0.01708278580814726,7.659999999999999,49177.486109872116,2018-02-19/2018-02-25,2018-02,2018
300102.SZ,2018-02-23,7.68,7.73,7.61,7.7,7.74,-0.04,-0.52,83607.35,64038.595,-0.0051679586563307955,7.734,56470.23626393396,2018-02-19/2018-02-25,2018-02,2018
300102.SZ,2018-02-26,7.76,8.04,7.7,7.99,7.7,0.29,3.77,174497.37,137790.016,0.03766233766233773,7.752,46706.479808287426,2018-02-26/2018-03-04,2018-02,2018
300102.SZ,2018-02-27,8.03,8.23,7.91,8.09,7.99,0.1,1.25,204519.84,165829.225,0.01251564455569465,7.8260000000000005,53933.96299381644,2018-02-26/2018-03-04,2018-02,2018
300102.SZ,2018-03-01,8.08,8.17,7.8,8.17,8.09,0.08,0.99,257772.79,206069.605,0.009888751545117369,7.938000000000001,73998.046485296,2018-02-26/2018-03-04,2018-03,2018
300102.SZ,2018-03-02,8.01,8.14,7.89,7.91,8.17,-0.26,-3.18,159634.89,127596.832,-0.03182374541003674,7.9719999999999995,63848.74068135111,2018-02-26/2018-03-04,2018-03,2018
300102.SZ,2018-03-05,7.9,8.07,7.89,8.05,7.91,0.14,1.77,105960.65,84470.275,0.017699115044247815,8.042,56070.34253605664,2018-03-05/2018-03-11,2018-03,2018
300102.SZ,2018-03-06,8.06,8.19,7.98,8.11,8.05,0.06,0.75,165713.65,134541.735,0.007453416149068248,8.066,56440.90920290957,2018-03-05/2018-03-11,2018-03,2018
300102.SZ,2018-03-07,8.08,8.12,7.96,7.96,8.11,-0.15,-1.85,114758.0,92156.834,-0.018495684340320562,8.040000000000001,60325.03292407123,2018-03-05/2018-03-11,2018-03,2018
300102.SZ,2018-03-08,7.97,8.1,7.93,7.99,7.96,0.03,0.38,83124.14,66615.742,0.0037688442211054607,8.004,35618.27661244602,2018-03-05/2018-03-11,2018-03,2018
300102.SZ,2018-03-09,7.97,8.21,7.97,8.18,7.99,0.19,2.38,189476.04,154438.245,0.02377972465581979,8.058000000000002,44170.414743853384,2018-03-05/2018-03-11,2018-03,2018
300102.SZ,2018-03-12,8.24,8.38,8.19,8.25,8.18,0.07,0.86,195551.57,161802.774,0.008557457212714059,8.097999999999999,48975.05045708626,2018-03-12/2018-03-18,2018-03,2018
300102.SZ,2018-03-13,8.2,8.37,8.18,8.24,8.25,-0.01,-0.12,169926.15,140813.156,-0.00121212121212122,8.123999999999999,49353.63579906394,2018-03-12/2018-03-18,2018-03,2018
300102.SZ,2018-03-14,8.2,8.28,8.03,8.04,8.24,-0.2,-2.43,149030.23,121369.772,-0.024271844660194275,8.139999999999999,45354.91472691275,2018-03-12/2018-03-18,2018-03,2018
300102.SZ,2018-03-15,8.01,8.1,7.9,8.0,8.04,-0.04,-0.5,122800.48,98035.721,-0.004975124378109319,8.142,29966.389892745323,2018-03-12/2018-03-18,2018-03,2018
300102.SZ,2018-03-16,8.0,8.06,7.95,7.95,8.0,-0.05,-0.63,86510.0,69281.276,-0.006249999999999978,8.096,42150.43446940286,2018-03-12/2018-03-18,2018-03,2018
300102.SZ,2018-03-19,7.95,8.1,7.9,8.04,7.95,0.09,1.13,97065.33,77918.918,0.011320754716980908,8.054,34865.644314552126,2018-03-19/2018-03-25,2018-03,2018
300102.SZ,2018-03-20,7.92,8.33,7.81,8.28,8.04,0.24,2.99,286345.19,232532.677,0.029850746268656803,8.062000000000001,80855.14226832717,2018-03-19/2018-03-25,2018-03,2018
300102.SZ,2018-03-21,8.31,8.31,8.01,8.05,8.28,-0.23,-2.78,233569.94,191749.211,-0.027777777777777568,8.064,89418.61869706202,2018-03-19/2018-03-25,2018-03,2018
300102.SZ,2018-03-22,8.0,8.1,7.87,7.92,8.05,-0.13,-1.61,143309.76,114120.264,-0.016149068322981464,8.048,87432.41373855081,2018-03-19/2018-03-25,2018-03,2018
300102.SZ,2018-03-23,7.67,7.72,7.17,7.26,7.92,-0.66,-8.33,191139.8,142985.325,-0.08333333333333337,7.909999999999999,74159.38386274209,2018-03-19/2018-03-25,2018-03,2018
300102.SZ,2018-03-26,7.1,7.49,7.1,7.49,7.26,0.23,3.17,113295.48,83496.358,0.031680440771350016,7.8,69251.75093559356,2018-03-26/2018-04-01,2018-03,2018
300102.SZ,2018-03-27,7.64,7.84,7.55,7.78,7.49,0.29,3.87,145035.25,111822.943,0.03871829105473967,7.7,47241.86790783022,2018-03-26/2018-04-01,2018-03,2018
