week,start_date,end_date,open,close,high,low,volume,avg_daily_return,return_std,period_return
2018-01-01/2018-01-07,2018-01-02,2018-01-05,10.0,9.89,10.48,9.655999999999999,1271907.07,-0.005246485844387194,0.010492971688774388,-0.010999999999999899
2018-01-08/2018-01-14,2018-01-08,2018-01-12,9.83,8.88,9.84,8.77,1413821.18,-0.020632360633394287,0.040284133983378975,-0.09664292980671407
2018-01-15/2018-01-21,2018-01-15,2018-01-19,8.8,8.38,8.81,8.31,868846.85,-0.011237773548835883,0.026586882818131728,-0.04772727272727273
2018-01-22/2018-01-28,2018-01-22,2018-01-26,8.34,8.55,8.78,8.09,737711.07,0.004084250136333711,0.012240019393070348,0.02517985611510798
2018-01-29/2018-02-04,2018-01-29,2018-02-02,8.56,7.42,8.64,7.16,685210.67,-0.02750742945031952,0.03286049410580926,-0.133177570093458
2018-02-05/2018-02-11,2018-02-05,2018-02-09,7.29,7.33,7.6,7.03,689323.6000000001,-0.0018852041437463108,0.03685848159596145,0.005486968449931462
2018-02-12/2018-02-18,2018-02-12,2018-02-14,7.39,7.61,7.93,7.39,493384.6,0.013576368194215779,0.055750537256211395,0.02976995940460081
2018-02-19/2018-02-25,2018-02-22,2018-02-23,7.68,7.7,7.8,7.61,177601.87,0.0059574135759082325,0.015733652297281468,0.0026041666666667407
2018-02-26/2018-03-04,2018-02-26,2018-03-02,7.76,7.91,8.23,7.7,796424.89,0.007060747088278252,0.028787813498665302,0.019329896907216648
2018-03-05/2018-03-11,2018-03-05,2018-03-09,7.9,8.18,8.21,7.89,659032.48,0.0068410831459841505,0.016252536904093708,0.03544303797468351
2018-03-12/2018-03-18,2018-03-12,2018-03-16,8.24,7.95,8.38,7.9,723818.43,-0.0056303266075421465,0.01192825667300737,-0.03519417475728159
2018-03-19/2018-03-25,2018-03-19,2018-03-23,7.95,7.26,8.33,7.17,951430.02,-0.017217735689690938,0.0433411358272192,-0.08679245283018877
2018-03-26/2018-04-01,2018-03-26,2018-03-30,7.1,8.07,8.08,7.1,650719.61,0.021546674893262653,0.020577440675462567,0.1366197183098592
2018-04-02/2018-04-08,2018-04-02,2018-04-04,8.17,7.87,8.34,7.86,632281.73,-0.008064446598511132,0.028234723375674176,-0.03671970624234999
2018-04-09/2018-04-15,2018-04-09,2018-04-13,7.85,8.29,8.34,7.73,839968.61,0.010593985689009554,0.018953819596523848,0.056050955414012726
2018-04-16/2018-04-22,2018-04-16,2018-04-20,8.23,8.55,8.68,7.98,1633212.53,0.006602603012946529,0.03217003477788622,0.03888213851761857
2018-04-23/2018-04-29,2018-04-23,2018-04-27,8.61,8.18,8.72,8.1,1316184.01,-0.008636761025952944,0.02080545148635131,-0.0499419279907084
2018-04-30/2018-05-06,2018-05-02,2018-05-04,8.24,7.85,8.32,7.68,466641.32,-0.013520905875519462,0.018230711721155583,-0.047330097087378675
2018-05-07/2018-05-13,2018-05-07,2018-05-11,7.86,7.7,8.11,7.69,545818.06,-0.0036862284157047178,0.02030433130260209,-0.020356234096692183
